Titre,Localisation,Prix,Nombre_chambre,Nombre_douches,Surface_habitable,Type,Secteur,Salons,Étage,Âge_du_bien,link
Appartement à louer pour PERSONNE seule,Casablanca,3000.0,1,1,50.0,Louer,Sidi Maarouf,1,0,-1 ans,https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_%C3%A0_louer_pour_PERSONNE_seule_55561573.htm
CMN-AN-1638 - Appartement à vendre à Bourgogne,Casablanca,1300000.0,2,1,94.0,Vendre,Bourgogne,0,3,-1 ans,https://www.avito.ma/fr/bourgogne/appartements/CMN_AN_1638___Appartement_%C3%A0_vendre_%C3%A0_Bourgogne_55392350.htm
appartement meublé à louer,Temara,830000.0,2,1,85.0,Louer,Riad Oulad Mtaa,3,2,-1 ans,https://www.avito.ma/fr/riad_oulad_mtaa/appartements/appartement_meubl%C3%A9_%C3%A0_louer__55526979.htm
Appartement à vendre 80 m² à Zenata,Urgent,1081375.0,2,2,80.0,Vendre,Toute la ville,1,2,-1 ans,https://www.avito.ma/fr/zenata/appartements/Appartement_%C3%A0_vendre_80_m%C2%B2_%C3%A0_Zenata_55030856.htm
Appartement à vendre 90 m² à Zenata,Zenata,1120400.0,2,2,90.0,Vendre,Toute la ville,1,3,-1 ans,https://www.avito.ma/fr/zenata/appartements/Appartement_%C3%A0_vendre_90_m%C2%B2_%C3%A0_Zenata_55030912.htm
appartement location soufiane,Casablanca,5000.0,3,2,96.33530571992111,Louer,Sidi Maarouf,2,2,-1 ans,https://www.avito.ma/fr/sidi_maarouf/appartements/appartement_location_soufiane__54903407.htm
CMN-ME-1284 - Appartement à vendre à La Gironde,Casablanca,880000.0,2,2,75.0,Vendre,La Gironde,0,3,-1 ans,https://www.avito.ma/fr/la_gironde/appartements/CMN_ME_1284___Appartement_%C3%A0_vendre_%C3%A0_La_Gironde_54561889.htm
Grand appartement Californie,Casablanca,2500000.0,3,3,150.0,Vendre,Californie,3,1,-1 ans,https://www.avito.ma/fr/californie/appartements/Grand_appartement_Californie__54318448.htm
Appartement à louer 120 m² à Marrakech,Marrakech,6000.0,3,2,120.0,Louer,Hay Al Massar,2,2,-1 ans,https://www.avito.ma/fr/hay_al_massar/appartements/Appartement_%C3%A0_louer_120_m%C2%B2_%C3%A0_Marrakech_55738442.htm
Appartement à vendre 137 m² à Mohammedia Parc,Mohammedia,830000.0,3,0,137.0,Vendre,Quartier du Parc,2,3,-1 ans,https://www.avito.ma/fr/quartier_du_parc/appartements/Appartement_%C3%A0_vendre_137_m%C2%B2_%C3%A0_Mohammedia_Parc_55447307.htm
Trés Bel Appartement à la plage de Achakar,Promo -10%,315.0,5,2,96.33530571992111,Louer,Marjane,0,1,-1 ans,https://www.avito.ma/fr/marjane/locations_de_vacances/Tr%C3%A9s_Bel_Appartement_%C3%A0_la_plage_de_Achakar_53860898.htm
Appartement avec 3 chambres meublé sur Hay Riad,Rabat,11500.0,3,2,114.0,Louer,Hay Riad,1,1,-1 ans,https://www.avito.ma/fr/hay_riad/appartements/Appartement_avec_3_chambres_meubl%C3%A9_sur_Hay_Riad_55538677.htm
Appartement à LOUER à Rabat Agdal,Rabat,850.0,2,2,96.33530571992111,Louer,Agdal,0,1,-1 ans,https://www.avito.ma/fr/agdal/locations_de_vacances/Appartement_%C3%A0_LOUER__%C3%A0_Rabat_Agdal_55282071.htm
porte d'entrée appartement,Marrakech,2990.0,0,0,96.33530571992111,Avendre,Massar,0,1,-1 ans,https://www.avito.ma/fr/massar/porte_et_fen%C3%AAtre/porte_d_entr%C3%A9e_appartement_53765038.htm
Appartement à vendre 90 m² à Marrakech,Marrakech,9500.0,4,3,90.0,Vendre,Targa,1,2,-1 ans,https://www.avito.ma/fr/targa/appartements/Appartement_%C3%A0_vendre_90_m%C2%B2_%C3%A0_Marrakech_55072904.htm
Appartement à vendre 84 m² à Marrakech,Marrakech,10000.0,2,2,84.0,Vendre,Massira 1,1,4,-1 ans,https://www.avito.ma/fr/massira_1/appartements/Appartement_%C3%A0_vendre_84_m%C2%B2_%C3%A0_Marrakech_55660331.htm
Appartement à louer pour vos vacancesLDV376,Agadir,830000.0,4,2,96.33530571992111,Louer,Centre Ville,0,1,-1 ans,https://www.avito.ma/fr/centre_ville/locations_de_vacances/Appartement_%C3%A0_louer_pour_vos_vacancesLDV376_54273708.htm
Appartement meublée neuf à louer à Safi,Safi,830000.0,4,1,96.33530571992111,Louer,El Matar,0,1,-1 ans,https://www.avito.ma/fr/el_matar/locations_de_vacances/Appartement_meubl%C3%A9e_neuf__%C3%A0_louer__%C3%A0_Safi_55028119.htm
Appartement à louer à Rabat Quartier Agdal,Rabat,7500.0,4,2,120.0,Louer,Agdal,2,4,-1 ans,https://www.avito.ma/fr/agdal/appartements/Appartement_%C3%A0_louer_%C3%A0_Rabat_Quartier_Agdal_55738333.htm
Appartement à LOUER 32 m² à Rabat AGDAL,Rabat,850.0,0,0,96.33530571992111,Louer,Agdal,0,1,-1 ans,https://www.avito.ma/fr/agdal/locations_de_vacances/Appartement_%C3%A0_LOUER_32_m%C2%B2_%C3%A0_Rabat_AGDAL__55283684.htm
Appartement à louer 142 m² à Casablanca,Casablanca,9.0,3,2,142.0,Location,Aïn Diab,1,2,-1 ans,https://www.avito.ma/fr/a%C3%AFn_diab/appartements/Appartement_%C3%A0_louer_142_m%C2%B2_%C3%A0_Casablanca_55738431.htm
Neuf Appartement Très Haut standing à Californie,Casablanca,6500.0,2,2,90.0,Louer,Californie,1,1,-1 ans,https://www.avito.ma/fr/californie/appartements/_Neuf_Appartement_Tr%C3%A8s_Haut_standing_%C3%A0_Californie__55566684.htm
Appartement à vendre 84 m² à Bouznika (3ème étage),Bouznika,570000.0,2,1,84.0,Vendre,Al Kawtar,1,1,-1 ans,https://www.avito.ma/fr/al_kawtar/appartements/Appartement_%C3%A0_vendre_84_m%C2%B2_%C3%A0_Bouznika__3%C3%A8me_%C3%A9tage__54043561.htm
Appartement à vendre 50 m² à Casablanca,Casablanca,1100000.0,1,1,50.0,Vendre,Maârif Extension,1,3,1-5 ans,https://www.avito.ma/fr/ma%C3%A2rif_extension/appartements/Appartement_%C3%A0_vendre_50_m%C2%B2_%C3%A0_Casablanca_55506056.htm
CMN-SI-1650 - Appartement à vendre à Bourgogne Est,Casablanca,1250000.0,2,1,74.0,Vendre,Bourgogne,0,6,-1 ans,https://www.avito.ma/fr/bourgogne/appartements/CMN_SI_1650___Appartement_%C3%A0_vendre_%C3%A0_Bourgogne_Est_55653633.htm
Appartement à vendre 72 m² à Asilah,Asilah,560000.0,2,1,72.0,Vendre,Toute la ville,1,2,6-10 ans,https://www.avito.ma/fr/asilah/appartements/Appartement_%C3%A0_vendre_72_m%C2%B2_%C3%A0_Asilah_55368420.htm
Appartement meublé 57m² a vendre a hay ElMatar,El Jadida,360000.0,2,1,57.0,Vendre,Centre,1,2,6-10 ans,https://www.avito.ma/fr/centre/appartements/Appartement_meubl%C3%A9_57m%C2%B2_a_vendre_a_hay_ElMatar_55339218.htm
Appartement à Marina Blanca,Dar Bouazza,1700000.0,2,2,98.0,Vendre,Toute la ville,1,1,1-5 ans,https://www.avito.ma/fr/dar_bouazza/appartements/Appartement_%C3%A0_Marina_Blanca_54401684.htm
Appartement à vendre 146 m² à Agadir,Agadir,2019001.0,4,1,146.0,Vendre,Talborjt,1,1,-1 ans,https://www.avito.ma/fr/talborjt/appartements/Appartement_%C3%A0_vendre_146_m%C2%B2_%C3%A0_Agadir_55053669.htm
Appartement à vendre belvédère,Casablanca,830000.0,3,2,150.0,Vendre,Belvédère,1,4,1-5 ans,https://www.avito.ma/fr/belv%C3%A9d%C3%A8re/appartements/Appartement_%C3%A0_vendre_belv%C3%A9d%C3%A8re__55695342.htm
Appartement à vendre 104 m² à Temara,Temara,1450000.0,3,2,104.0,Vendre,Wifak,1,1,-1 ans,https://www.avito.ma/fr/wifak/appartements/Appartement_%C3%A0_vendre_104_m%C2%B2_%C3%A0_Temara_55723471.htm
Appartement à vendre 116 m² à Rabat,Rabat,1500000.0,3,2,116.0,Vendre,Guich Oudaya,1,1,21+ ans,https://www.avito.ma/fr/guich_oudaya/appartements/Appartement_%C3%A0_vendre_116_m%C2%B2_%C3%A0_Rabat_55466776.htm
Appartement à vendre 72 m² à Temara,Temara,850000.0,2,2,72.0,Vendre,Wifak,1,0,-1 ans,https://www.avito.ma/fr/wifak/appartements/Appartement_%C3%A0_vendre_72_m%C2%B2_%C3%A0_Temara_55723489.htm
Bel appartement de 160 M2 à vendre à Maârif Casa,Casablanca,2400000.0,4,1,140.0,Vendre,Maarif,1,0,21+ ans,https://www.avito.ma/fr/maarif/appartements/Bel_appartement_de_160_M2_%C3%A0_vendre_%C3%A0_Ma%C3%A2rif_Casa_55696216.htm
Appartement 84 m²Al Baraka à Dcheïra El Jihadia,Dcheïra El Jihadia,701720.0,3,2,84.0,Vendre,Toute la ville,1,1,-1 ans,https://www.avito.ma/fr/dche%C3%AFra_el_jihadia/appartements/Appartement_84_m%C2%B2Al_Baraka__%C3%A0_Dche%C3%AFra_El_Jihadia_52999322.htm
Appartement à vendre 79 m² à Casablanca,Casablanca,580000.0,2,1,79.0,Vendre,Sidi Moumen,2,2,6-10 ans,https://www.avito.ma/fr/sidi_moumen/appartements/Appartement_%C3%A0_vendre_79_m%C2%B2_%C3%A0_Casablanca_55223183.htm
Appart. 79 m2 Angle Chouka Omarya-Hay Chrifa,Casablanca,760000.0,2,1,79.0,Vendre,Aïn Chock,2,3,-1 ans,https://www.avito.ma/fr/a%C3%AFn_chock/appartements/Appart__79_m2__Angle_Chouka__Omarya_Hay_Chrifa_55672086.htm
Appart. Haut Stand 104 m2 Résid. Fermée Californie,Casablanca,1560000.0,3,2,104.0,Vendre,Californie,1,1,-1 ans,https://www.avito.ma/fr/californie/appartements/Appart__Haut_Stand_104_m2_R%C3%A9sid__Ferm%C3%A9e_Californie_55625698.htm
Appartement de luxe 156m sans vis à vis,Casablanca,1300000.0,4,2,106.0,Vendre,Ain Sebaa,1,6,1-5 ans,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_de_luxe_156m_sans_vis_%C3%A0_vis_55687853.htm
Appartement à vendre 91 m² à Mohammedia,Mohammedia,1277500.0,2,2,91.0,Vendre,Autre secteur,1,1,1-5 ans,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_91_m%C2%B2_%C3%A0_Mohammedia_55453790.htm
Appart. 2ème étage 82 m2 Lot chaoui Bd tah,Casablanca,880000.0,2,2,82.0,Vendre,Aïn Chock,2,2,-1 ans,https://www.avito.ma/fr/a%C3%AFn_chock/appartements/Appart__2%C3%A8me_%C3%A9tage_82_m2_Lot_chaoui_Bd_tah_55626029.htm
Guiche lodaya Appartement en vente,Rabat,1100001.0,2,1,83.0,Vendre,Guich Oudaya,1,1,-1 ans,https://www.avito.ma/fr/guich_oudaya/appartements/Guiche_lodaya_Appartement_en_vente_55738326.htm
Appartement à vendre 60 m² La Perle Bleue à Dakhla,Dakhla,562500.0,3,1,60.0,Vendre,Toute la ville,1,1,-1 ans,https://www.avito.ma/fr/dakhla/appartements/Appartement_%C3%A0_vendre_60_m%C2%B2_La_Perle_Bleue_%C3%A0_Dakhla_55045162.htm
Appartement à vendre 97 m² Rizq à Agadir,Agadir,1238400.0,3,1,97.0,Vendre,Autre secteur,1,4,-1 ans,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_97_m%C2%B2_Rizq_%C3%A0_Agadir_54715149.htm
appartement taza,Taza,830000.0,3,1,940.0,Vendre,Toute la ville,1,3,6-10 ans,https://www.avito.ma/fr/taza/appartements/appartement_taza_55738331.htm
Appartement à vendre 44 m² à Casablanca,Casablanca,864000.0,1,1,44.0,Vendre,Sidi Maarouf,1,1,6-10 ans,https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_%C3%A0_vendre_44_m%C2%B2_%C3%A0_Casablanca_55449791.htm
appartement 76 métre 87 mlion petite immeuble,Tanger,830000.0,2,1,96.33530571992111,Vendre,Centre ville,1,3,-1 ans,https://www.avito.ma/fr/centre_ville/appartements/appartement_76_m%C3%A9tre_87_mlion_petite_immeuble__55738325.htm
A VENDRE - APPARTEMENT SUR MAARIF QUARTIER BERGER,Casablanca,860000.0,2,1,78.0,Vendre,Maarif,1,0,-1 ans,https://www.avito.ma/fr/maarif/appartements/A_VENDRE___APPARTEMENT_SUR_MAARIF_QUARTIER_BERGER_55711811.htm
Appartement à vendre 137 m² à Mohammedia Parc,Mohammedia,830000.0,3,0,137.0,Vendre,Autre secteur,2,2,-1 ans,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_137_m%C2%B2_%C3%A0_Mohammedia_Parc_55372550.htm
CMN-MA-1755 - Appartement à vendre à Racine,Casablanca,1400000.0,1,1,58.0,Vendre,Racine,0,2,-1 ans,https://www.avito.ma/fr/racine/appartements/CMN_MA_1755___Appartement_%C3%A0_vendre_%C3%A0_Racine_55650826.htm
Appartement à vendre 103 m² à Marrakech,Marrakech,830000.0,2,1,103.0,Vendre,Route de Casablanca,1,3,1-5 ans,https://www.avito.ma/fr/route_de_casablanca/appartements/Appartement_%C3%A0_vendre_103_m%C2%B2_%C3%A0_Marrakech_55035347.htm
Appartement à vendre 92 m² à Temara,Temara,830000.0,3,2,92.0,Vendre,Massira,1,4,6-10 ans,https://www.avito.ma/fr/massira/appartements/Appartement_%C3%A0_vendre_92_m%C2%B2_%C3%A0_Temara_55738291.htm
Appartement à vendre 57m² à Marrakech,Marrakech,830000.0,2,1,57.0,Vendre,Guéliz,1,3,-1 ans,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_vendre_57m%C2%B2_%C3%A0_Marrakech_53715307.htm
Appartement 84 m² à Marrak 3 chambres salon,Marrakech,650000.0,3,1,84.0,Vendre,Autre secteur,1,1,-1 ans,https://www.avito.ma/fr/autre_secteur/appartements/Appartement__84_m%C2%B2_%C3%A0_Marrak_3_chambres_salon__55651489.htm
APPAREMMENT 118M CORNICHE A VENDRE,Mohammedia,830000.0,3,2,118.0,Vendre,Corniche,1,0,6-10 ans,https://www.avito.ma/fr/corniche/appartements/APPAREMMENT_118M_CORNICHE_A_VENDRE_55711592.htm
Appartement à vendre 130 m² à Agadir,Agadir,1600000.0,4,3,130.0,Vendre,Hay Mohammadi,1,1,11-20 ans,https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_%C3%A0_vendre_130_m%C2%B2_%C3%A0_Agadir_55738207.htm
appartement neuf cinq minutes malabata,Tanger,460000.0,2,1,54.0,Vendre,Malabata,1,2,-1 ans,https://www.avito.ma/fr/malabata/appartements/appartement_neuf_cinq_minutes_malabata__55738204.htm
Appartement à vendre 57m² à Marrakech,Marrakech,830000.0,2,1,57.0,Vendre,Guéliz,1,3,-1 ans,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_vendre_57m%C2%B2_%C3%A0_Marrakech_53715307.htm
Appartement 84 m² à Marrak 3 chambres salon,Marrakech,650000.0,3,1,84.0,Vendre,Autre secteur,1,1,-1 ans,https://www.avito.ma/fr/autre_secteur/appartements/Appartement__84_m%C2%B2_%C3%A0_Marrak_3_chambres_salon__55651489.htm
APPAREMMENT 118M CORNICHE A VENDRE,Mohammedia,830000.0,3,2,118.0,Vendre,Corniche,1,0,6-10 ans,https://www.avito.ma/fr/corniche/appartements/APPAREMMENT_118M_CORNICHE_A_VENDRE_55711592.htm
Appartement à vendre 130 m² à Agadir,Agadir,1600000.0,4,3,130.0,Vendre,Hay Mohammadi,1,1,11-20 ans,https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_%C3%A0_vendre_130_m%C2%B2_%C3%A0_Agadir_55738207.htm
appartement neuf cinq minutes malabata,Tanger,460000.0,2,1,54.0,Vendre,Malabata,1,2,-1 ans,https://www.avito.ma/fr/malabata/appartements/appartement_neuf_cinq_minutes_malabata__55738204.htm
RAK-GU-1118 - Appartement à vendre à Issil,Marrakech,980000.0,3,2,115.0,Vendre,Issil,0,1,-1 ans,https://www.avito.ma/fr/issil/appartements/RAK_GU_1118___Appartement_%C3%A0_vendre_%C3%A0_Issil_55486494.htm
Appartement à vendre 185 m² à Kénitra,Kénitra,1300000.0,3,1,185.0,Vendre,Mimosas,1,8,11-20 ans,https://www.avito.ma/fr/mimosas/appartements/Appartement_%C3%A0_vendre_185_m%C2%B2_%C3%A0_K%C3%A9nitra_55642876.htm
Magnifique appartement 115 m² 2 mars,Casablanca,1550000.0,3,2,115.0,Vendre,2 Mars,1,4,-1 ans,https://www.avito.ma/fr/2_mars/appartements/Magnifique_appartement_115_m%C2%B2__2_mars__55634811.htm
appartement 76 métre 6 minutes malabata,Tanger,870000.0,2,2,76.0,Vendre,Malabata,1,2,-1 ans,https://www.avito.ma/fr/malabata/appartements/appartement_76_m%C3%A9tre_6_minutes_malabata__55738178.htm
Appartement à vendre dans un excellent emplacement,Marrakech,400000.0,2,1,64.0,Vendre,Route de Casablanca,1,0,1-5 ans,https://www.avito.ma/fr/route_de_casablanca/appartements/Appartement_%C3%A0_vendre_dans_un_excellent_emplacement_55536048.htm
Appartement haut standing secteur 23,Rabat,3400000.0,3,2,150.0,Vendre,Hay Riad,2,1,11-20 ans,https://www.avito.ma/fr/hay_riad/appartements/Appartement_haut_standing_secteur_23_53741768.htm
RAK-GU-1101 - Appartement à vendre à Ouasis,Marrakech,1100000.0,2,2,108.0,Vendre,Hay Izdihar,0,1,-1 ans,https://www.avito.ma/fr/hay_izdihar/appartements/RAK_GU_1101___Appartement_%C3%A0_vendre_%C3%A0_Ouasis_55187227.htm
RAK-GU-1106 - Appartement à vendre à Izdihar,Marrakech,850000.0,2,2,80.0,Vendre,Hay Izdihar,0,1,-1 ans,https://www.avito.ma/fr/hay_izdihar/appartements/RAK_GU_1106___Appartement_%C3%A0_vendre_%C3%A0_Izdihar_55210368.htm
Appartement à vendre 64 m² à Casablanca,Casablanca,830000.0,2,0,64.0,Vendre,Sidi Bernoussi,0,4,6-10 ans,https://www.avito.ma/fr/sidi_bernoussi/appartements/Appartement_%C3%A0_vendre_64_m%C2%B2_%C3%A0_Casablanca_37621456.htm
Océan Apt à vendre 77 m²,Rabat,1160000.0,2,1,77.0,Vendre,Quartier de l'Océan,2,2,11-20 ans,https://www.avito.ma/fr/quartier_de_l'oc%C3%A9an/appartements/Oc%C3%A9an_Apt_%C3%A0_vendre_77_m%C2%B2_55097029.htm
Appartement 55 m² à Tanger,Tanger,830000.0,2,1,55.0,Vendre,Mesnana,1,6,1-5 ans,https://www.avito.ma/fr/mesnana/appartements/Appartement_55_m%C2%B2_%C3%A0_Tanger_55738125.htm
Appartement à vendre 108 m² à Nouaceur,Nouaceur,1039000.0,2,2,108.0,Vendre,Toute la ville,2,2,6-10 ans,https://www.avito.ma/fr/nouaceur/appartements/Appartement_%C3%A0_vendre_108_m%C2%B2_%C3%A0_Nouaceur_55658309.htm
Appartement à vendre 53 m² à errahma sans meubles,Casablanca,280000.0,2,2,53.0,Vendre,Errahma,1,3,6-10 ans,https://www.avito.ma/fr/errahma/appartements/Appartement_%C3%A0_vendre_53_m%C2%B2_%C3%A0_errahma_sans_meubles_55505449.htm
appartement Neuf a RTE D'imouzzar,Fès,7270.0,3,2,106.0,Vendre,Route d'Immouzere,2,2,-1 ans,https://www.avito.ma/fr/route_d'immouzere/appartements/appartement_Neuf_a_RTE_D_imouzzar__55325570.htm
appartement 130m2 tanger Gzenaya,Tanger,900000.0,3,2,90.0,Vendre,Autre secteur,1,5,1-5 ans,https://www.avito.ma/fr/autre_secteur/appartements/appartement_130m2_tanger_Gzenaya_55537297.htm
Appartement à vendre 82 m² 4 min de la plage,El Jadida,640000.0,2,2,82.0,Vendre,Corniche,1,1,-1 ans,https://www.avito.ma/fr/corniche/appartements/Appartement_%C3%A0_vendre_82_m%C2%B2_4_min_de_la_plage_55525682.htm
Appartement 129 m² à Fès,Fès,750000.0,3,2,129.0,Vendre,Hay Atlas,2,2,11-20 ans,https://www.avito.ma/fr/hay_atlas/appartements/Appartement_129_m%C2%B2_%C3%A0_F%C3%A8s_55621036.htm
Appartement à vendre AL assil hay Mohmmadi,Casablanca,830000.0,2,2,60.0,Vendre,Hay Mohammadi,1,3,11-20 ans,https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_%C3%A0_vendre_AL_assil_hay_Mohmmadi_55539098.htm
Appartement à vendre 165 m² à Casablanca,Casablanca,1200000.0,2,2,165.0,Vendre,Belvédère,1,3,1-5 ans,https://www.avito.ma/fr/belv%C3%A9d%C3%A8re/appartements/Appartement_%C3%A0_vendre_165_m%C2%B2_%C3%A0_Casablanca_55628881.htm
appartement titré,Martil,830000.0,2,1,49.0,Vendre,Toute la ville,1,3,-1 ans,https://www.avito.ma/fr/martil/appartements/appartement_titr%C3%A9__55738073.htm
Appartement Ensoleillé a vendre,Errahma,380000.0,2,2,65.0,Vendre,Toute la ville,1,2,1-5 ans,https://www.avito.ma/fr/errahma/appartements/Appartement_Ensoleill%C3%A9_a_vendre_55738068.htm
Appartement à vendre 36 m² à Casablanca,Casablanca,980000.0,1,1,36.0,Vendre,Sidi Maarouf,1,1,6-10 ans,https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_%C3%A0_vendre_36_m%C2%B2_%C3%A0_Casablanca_55452214.htm
Appartement à vendre 94 m² à Casablanca,Casablanca,750000.0,3,2,94.0,Vendre,Sidi Bernoussi,1,3,6-10 ans,https://www.avito.ma/fr/sidi_bernoussi/appartements/Appartement_%C3%A0_vendre_94_m%C2%B2_%C3%A0_Casablanca_55613938.htm
Appartement à vendre 101 m² à Marrakech,Marrakech,1250000.0,3,2,101.0,Vendre,Mabrouka,1,3,1-5 ans,https://www.avito.ma/fr/mabrouka/appartements/Appartement_%C3%A0_vendre_101_m%C2%B2_%C3%A0_Marrakech_55072468.htm
Appartement à vendre 127 m² à Casablanca,Casablanca,2160000.0,3,2,112.0,Vendre,Les Princesses,2,2,6-10 ans,https://www.avito.ma/fr/les_princesses/appartements/Appartement_%C3%A0_vendre_127_m%C2%B2_%C3%A0_Casablanca_52698779.htm
Appartement à vendre 102 m² à Casablanca,Casablanca,1170000.0,3,2,102.0,Vendre,Ain Sebaa,2,2,6-10 ans,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre_102_m%C2%B2_%C3%A0_Casablanca_54908391.htm
bel appartement à vendre à marina golf asilah,Asilah,830000.0,2,2,95.0,Vendre,Toute la ville,1,0,1-5 ans,https://www.avito.ma/fr/asilah/appartements/bel_appartement_%C3%A0_vendre_%C3%A0_marina_golf_asilah_55719606.htm
Appartement à vendre 79 m² à Casablanca,Casablanca,890000.0,2,2,79.0,Vendre,Ain Sebaa,1,3,6-10 ans,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre_79_m%C2%B2_%C3%A0_Casablanca_54931023.htm
Appartement 127m2 à Les Princesses Casablanca,Casablanca,21600000.0,3,2,112.0,Vendre,Maarif,2,3,6-10 ans,https://www.avito.ma/fr/maarif/appartements/Appartement_127m2_%C3%A0_Les_Princesses_Casablanca__50660949.htm
Appartement à vendre 98 m² à Had Soualem,Had Soualem,450000.0,3,1,98.0,Vendre,Toute la ville,1,3,11-20 ans,https://www.avito.ma/fr/had_soualem/appartements/Appartement_%C3%A0_vendre_98_m%C2%B2_%C3%A0_Had_Soualem_55539434.htm
Appartement à vendre 127 m² à Casablanca,Casablanca,2160000.0,3,2,112.0,Vendre,Les Princesses,2,2,6-10 ans,https://www.avito.ma/fr/les_princesses/appartements/Appartement_%C3%A0_vendre_127_m%C2%B2_%C3%A0_Casablanca_52698779.htm
Appartement à vendre 102 m² à Casablanca,Casablanca,1170000.0,3,2,102.0,Vendre,Ain Sebaa,2,2,6-10 ans,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre_102_m%C2%B2_%C3%A0_Casablanca_54908391.htm
bel appartement à vendre à marina golf asilah,Asilah,830000.0,2,2,95.0,Vendre,Toute la ville,1,0,1-5 ans,https://www.avito.ma/fr/asilah/appartements/bel_appartement_%C3%A0_vendre_%C3%A0_marina_golf_asilah_55719606.htm
Appartement à vendre 79 m² à Casablanca,Casablanca,890000.0,2,2,79.0,Vendre,Ain Sebaa,1,3,6-10 ans,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre_79_m%C2%B2_%C3%A0_Casablanca_54931023.htm
